poi_id,Feature Name,Theme,Sub Theme,lat,lon,interest
1,Council House 2 (CH2),Mixed Use,Retail/Office/Carpark,-37.814259143201106,144.966638432727,shopping
2,The Melbourne Athenaeum Library,Place Of Assembly,Library,-37.814885575641604,144.96729128994102,library
3,Carlton Gardens South,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8060684577258,144.971266479841,"hangout, sport, park"
4,St Francis Church,Place of Worship,Church,-37.8118847831837,144.962422614541,religious
5,Wesley Church,Place of Worship,Church,-37.810157644696105,144.968168215633,religious
6,St Augustines Church,Place of Worship,Church,-37.8169741358546,144.954862000132,religious
7,St James Church,Place of Worship,Church,-37.8101281201969,144.952468571683,religious
8,St Mary's Anglican Church,Place of Worship,Church,-37.8031663672997,144.953761537074,religious
9,Romanian Orthodox,Place of Worship,Church,-37.805230729746796,144.96698644459698,religious
10,Welsh Presbyterian Church,Place of Worship,Church,-37.8104478768313,144.959873260087,religious
11,Church of Christ,Place of Worship,Church,-37.8104524079085,144.96388920293998,religious
12,Scots Church,Place of Worship,Church,-37.8145687802664,144.96855105334998,religious
13,St Michael's Uniting Church,Place of Worship,Church,-37.814385132491296,144.969174036096,religious
14,Greek Orthodox Church,Place of Worship,Church,-37.8088064667555,144.97825908926902,religious
15,St Peter's Eastern Hill,Place of Worship,Church,-37.8097086714637,144.975259178609,religious
16,Lutheran Trinity Church,Place of Worship,Church,-37.8109757054396,144.975729473552,religious
17,Holy Trinity,Place of Worship,Church,-37.8140667110854,144.98319732228902,religious
18,St Johns Lutheran Church,Place of Worship,Church,-37.8209399677168,144.967121099857,religious
19,North Melbourne Uniting,Place of Worship,Church,-37.8035538471344,144.947671538375,religious
20,Melbourne Unitarian Church,Place of Worship,Church,-37.81144877733939,144.984664890999,religious
21,All Nations Uniting Church,Place of Worship,Church,-37.7959155303946,144.968981110942,religious
22,Our Lady of Lebanon Church,Place of Worship,Church,-37.802576653968295,144.969334720932,religious
23,St Michaels,Place of Worship,Church,-37.7940512679297,144.945399480629,religious
24,Ukranian Catholic Cathedral,Place of Worship,Church,-37.7963084580345,144.944313454028,religious
25,St Alban Anglican Church,Place of Worship,Church,-37.7942169477929,144.94161451392,religious
26,Christ Church Kensington,Place of Worship,Church,-37.7932109480553,144.92729572288,religious
27,Holy Rosary,Place of Worship,Church,-37.7948087414394,144.928362125005,religious
28,Collins Street Baptist Church,Place of Worship,Church,-37.8147011904647,144.968072486031,religious
29,St Thomas Aquinas Church,Place of Worship,Church,-37.8353076902578,144.97680908047198,religious
30,South Yarra Presbyterian Church,Place of Worship,Church,-37.8407473645397,144.98562699348,religious
31,The Parish of Christ Church South Yarra,Place of Worship,Church,-37.8386270533576,144.986009385387,religious
32,East Melbourne Synagogue,Place of Worship,Synagogue,-37.809113728917,144.97422190953998,religious
33,State Netball Hockey Centre,Leisure/Recreation,Major Sports & Recreation Facility,-37.7857860016289,144.947580972027,spectator of sport
